data,praca,classe,web,ifood,call,android,iphone,total,precipitac,tempmax,tempmin,tempmed,umidade,insolacao,diasemana,diasem,mes,desserts,pizzas,beverage, cbmaker ,combos,sfiha, kit1 , kit2 ,snack,pastas,dishes,promotion,savory, salads ,range
06/12/2018,SAO PAULO,,0,0,0,0,0,45198,4,29.4,17.9,21.24,74.5,6.8,TUR,1,3,3005,162,1926, 4 ,3606,22401, 36 , 5 ,1017,373,366,0,12275, 22 ,Range-20
07/01/2018,SAO PAULO,,0,0,0,0,0,60417,5,20.3,16.4,18.56,89.25,0,SUN,2,3,4203,369,2058, -   ,1605,35344, 18 , 4 ,1953,1012,371,0,13424, 56 ,Range-30
07/02/2018,SAO PAULO,,0,0,0,0,0,43138,0,29,18.8,23.32,65.75,9.6,WED,1,1,1867,159,1389, -   ,1255,27108, 15 , 2 ,835,433,395,0,9648, 32 ,Range-11
07/03/2018,SAO PAULO,,0,0,0,0,0,45304,2.2,30,21.3,23.94,84.25,5.1,WED,1,2,2469,177,1449, -   ,1157,27917, 23 , 4 ,860,406,446,481,9876, 39 ,Range-16
07/04/2018,SAO PAULO,,0,0,0,0,0,68193,0,28.6,18,21.96,72,6.5,SAT,3,2,3640,575,2772, 49 ,5655,36190, 37 , 7 ,2216,780,827,0,15377, 68 ,Range-25
07/05/2018,SAO PAULO,,0,0,0,0,0,41060,0,25.4,18.3,20.54,74,5.3,MON,1,2,2025,204,1384, 23 ,1672,25601, 15 , 1 ,946,425,399,0,8337, 28 ,Range-12
07/06/2018,SAO PAULO,,0,0,0,0,0,35846,2.6,22.2,15.3,18.8,79.5,1.7,TUR,1,3,2660,245,1604, 25 ,3256,16635, 34 , 8 ,875,517,439,0,9519, 29 ,Range-17
07/07/2018,SAO PAULO,,0,0,0,0,0,55398,0,25.2,14,19.5,54.25,7.6,SAT,3,1,3884,685,2099, 78 ,5785,29087, 18 , 13 ,1487,567,601,0,11055, 39 ,Range-27
07/08/2018,SAO PAULO,,0,0,0,0,0,34464,8.5,17.8,12,14.36,84.5,0,TUE,1,2,2356,134,1173, 35 ,2115,19343, 9 , 2 ,599,318,306,0,8052, 22 ,Range-15
07/09/2018,SAO PAULO,,0,0,0,0,0,65279,0,27.2,11.4,17.78,68.25,9.3,FRI,3,2,5192,308,2510, 4 ,7342,34487, 61 , 2 ,1236,602,601,0,12905, 29 ,Range-37
07/10/2018,SAO PAULO,,0,0,0,0,0,55103,0,19.4,15.4,17.3,91,0,SUN,2,2,4402,284,2287, 2 ,5411,29605, 65 , 3 ,1565,633,454,0,10367, 25 ,Range-31
07/11/2018,SAO PAULO,,0,0,0,0,0,39268,0,23.2,16.2,18.64,83,0,WED,1,2,2574,140,1490, 2 ,2244,22091, 20 , 2 ,873,295,230,0,9284, 23 ,Range-17
07/12/2018,SAO PAULO,,0,0,0,0,0,77651,0,24.5,17.7,19.6,79.5,0.7,FRI,3,3,4373,361,2501, 1 ,5294,48385, 42 , 6 ,1670,453,469,0,14057, 39 ,Range-31
08/01/2018,SAO PAULO,,0,0,0,0,0,53409,34.2,21.4,16.4,18.76,93.25,0,MON,1,3,2131,197,1595, -   ,597,36847, 24 , 4 ,1137,461,179,0,10197, 40 ,Range-13
08/02/2018,SAO PAULO,,0,0,0,0,0,50309,0,29.6,17.3,23.56,62.25,7.2,TUR,1,1,2144,195,1612, -   ,1353,31841, 19 , 2 ,1064,439,458,0,11135, 47 ,Range-13
08/03/2018,SAO PAULO,,0,0,0,0,0,52188,0,23.8,20.2,21.44,86.5,0,TUR,1,2,2676,213,1533, -   ,1448,33252, 25 , 1 ,858,465,498,637,10539, 43 ,Range-18
08/04/2018,SAO PAULO,,0,0,0,0,0,55617,0,28.1,18.7,22.06,77.75,4.7,SUN,2,2,3710,440,2401, 43 ,4104,28751, 29 , 11 ,1910,1013,883,0,12272, 50 ,Range-26
08/05/2018,SAO PAULO,,0,0,0,0,0,44000,0,24.1,16.9,19.44,77,7.5,TUE,1,2,2151,214,1498, 28 ,1723,27290, 17 , 6 ,911,466,405,0,9262, 29 ,Range-13
08/06/2018,SAO PAULO,,0,0,0,0,0,57246,2,20.8,14.3,16.1,83.25,0.6,FRI,3,3,4171,412,2273, 33 ,6235,29581, 53 , 8 ,1495,520,583,0,11862, 20 ,Range-29
08/07/2018,SAO PAULO,,0,0,0,0,0,44899,0,27.7,18.4,21.62,50.75,8.5,SUN,2,1,3659,522,1951, 35 ,4695,22604, 35 , 5 ,1119,647,567,0,9024, 36 ,Range-25
08/08/2018,SAO PAULO,,0,0,0,0,0,36809,0,26,12.9,19.38,67.75,6,WED,1,2,2307,155,1227, 28 ,2210,20651, 10 , 3 ,602,305,355,0,8919, 37 ,Range-15
08/09/2018,SAO PAULO,,0,0,0,0,0,60168,0,26.4,12,16.98,74.5,7.2,SAT,3,2,4359,323,2236, 1 ,6740,32707, 45 , -   ,1114,439,462,0,11720, 22 ,Range-31
08/10/2018,SAO PAULO,,0,0,0,0,0,35969,1.6,21.7,16.2,19.36,93,0,MON,1,2,2119,129,1428, 1 ,2061,20882, 19 , 5 ,770,319,255,0,7957, 24 ,Range-13
08/11/2018,SAO PAULO,,0,0,0,0,0,39469,4.4,20.8,15.8,18,86,0,TUR,1,2,2831,143,1722, 2 ,3187,19279, 32 , 6 ,1021,357,280,0,10588, 21 ,Range-19
08/12/2018,SAO PAULO,,0,0,0,0,0,76876,1,20,13.7,16.38,74.75,1.1,SAT,3,3,4907,380,2444, -   ,6628,44930, 55 , 14 ,1907,551,520,0,14528, 12 ,Range-35
09/01/2018,SAO PAULO,,0,0,0,0,0,45909,9.7,25.5,18.3,21.16,83,0,TUE,1,3,1938,157,1153, -   ,479,31772, 12 , 3 ,948,356,165,0,8893, 33 ,Range-12
09/02/2018,SAO PAULO,,0,0,0,0,0,62127,1.4,32.8,19.3,26.18,53.5,8.3,FRI,3,1,3267,400,2387, -   ,3504,34491, 31 , 5 ,1895,620,697,0,14793, 37 ,Range-22
